pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
10,5.85,10,1,2,1382319000,41.985015101,-87.804532006,,,0.0,,,Cash,Taxi Affiliation Services,180.0,,0.0
14,16.65,5,7,5,1369897200,41.968069,-87.72155906299999,,,0.0,,,Cash,Dispatch Taxi Affiliation,1080.0,,0.0
13,16.45,11,12,3,1446554700,41.983636307,-87.723583185,,,6.9,,,Cash,,780.0,,0.0
16,32.05,12,1,1,1417916700,41.953582125,-87.72345239,,,15.4,,,Cash,,1200.0,,0.0
30,38.45,10,10,5,1444301100,41.839086906,-87.71400380700001,,,14.6,,,Cash,,2580.0,,0.0
11,14.65,1,1,3,1358213400,41.978829526,-87.77116670299999,,,5.81,,,Cash,,1080.0,,0.0
33,3.25,5,17,1,1368985500,41.849246754,-87.624135298,,,0.0,,,Cash,Taxi Affiliation Services,0.0,,0.0
19,47.65,6,15,4,1372258800,41.927260956,-87.765501609,,,0.0,,,Cash,Taxi Affiliation Services,3480.0,,0.0
25,6.85,3,9,6,1426239900,41.890608853,-87.75604671100002,,,2.0,,,Cash,,420.0,,0.0
13,14.45,6,7,1,1403421300,41.983636307,-87.723583185,,,5.3,,,Cash,,1020.0,,0.0
33,9.85,6,11,6,1371812400,41.849246754,-87.624135298,,,2.81,,,Credit Card,,840.0,,3.0
25,3.05,2,6,2,1360565100,41.890608853,-87.75604671100002,,,0.4,,,Cash,,120.0,,0.0
18,20.85,12,17,4,1386782100,41.929297368,-87.79803218100002,,,6.3,,,Cash,,2100.0,,0.0
8,8.05,10,18,7,1382208300,41.907412816,-87.640901525,,,1.63,,,Cash,,840.0,,0.0
32,6.85,4,13,6,1397222100,41.87101588,-87.631406525,,,2.1,,,Cash,Taxi Affiliation Services,240.0,,0.0
2,0.0,11,0,7,1448669700,42.001571027,-87.695012589,,,0.0,,,Cash,Blue Ribbon Taxi Association Inc.,0.0,,0.0
3,12.25,8,19,5,1375384500,41.958154876,-87.653021789,,,4.51,,,Cash,,600.0,,0.0
33,3.25,5,17,1,1368983700,41.849246754,-87.624135298,,,0.0,,,Cash,Taxi Affiliation Services,0.0,,0.0
