pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
32,7.25,2,17,5,1392918300,41.880994471,-87.632746489,41.900265687,-87.63210922,0.1,,17031081000.0,Credit Card,Taxi Affiliation Services,480.0,8.0,1.5
32,12.25,11,16,2,1446481800,41.880994471,-87.632746489,41.914747305,-87.654007029,3.5,,17031832600.0,Cash,,1200.0,7.0,0.0
32,10.45,9,23,4,1411600500,41.880994471,-87.632746489,41.914747305,-87.654007029,0.1,,17031832600.0,Credit Card,Taxi Affiliation Services,840.0,7.0,2.05
32,11.85,10,18,6,1445020200,41.880994471,-87.632746489,41.914747305,-87.654007029,3.07,,17031832600.0,Credit Card,,1080.0,7.0,2.0
32,11.05,7,21,3,1374615000,41.880994471,-87.632746489,41.914747305,-87.654007029,0.0,,17031832600.0,Credit Card,Blue Ribbon Taxi Association Inc.,840.0,7.0,2.2
32,13.85,11,18,3,1416941100,41.880994471,-87.632746489,41.914747305,-87.654007029,2.6,,17031832600.0,Credit Card,Choice Taxi Association,1740.0,7.0,3.45
32,16.05,5,22,4,1431557100,41.880994471,-87.632746489,41.958154876,-87.653021789,6.5,,17031032100.0,Cash,KOAM Taxi Association,840.0,3.0,0.0
32,18.64,10,19,4,1383161400,41.880994471,-87.632746489,41.958154876,-87.653021789,7.7,,17031032100.0,Credit Card,,1140.0,3.0,3.73
32,12.25,4,20,5,1366920900,41.880994471,-87.632746489,41.928967266,-87.656156831,4.0,,17031070400.0,Cash,,1020.0,7.0,0.0
32,9.5,4,19,2,1461611700,41.880994471,-87.632746489,41.914616286,-87.631717366,2.3,,17031071500.0,Credit Card,Taxi Affiliation Services,720.0,7.0,2.0
32,7.85,12,22,6,1387577700,41.880994471,-87.632746489,41.914616286,-87.631717366,0.2,,17031071500.0,Credit Card,,540.0,7.0,3.0
32,9.25,6,22,7,1403993700,41.880994471,-87.632746489,41.914616286,-87.631717366,0.0,,17031071500.0,Credit Card,Choice Taxi Association,720.0,7.0,2.0
32,8.44,10,19,5,1414092600,41.880994471,-87.632746489,41.914616286,-87.631717366,2.3,,17031071500.0,Cash,,600.0,7.0,0.0
