pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area
6,9.05,6,15,7,1371913200,41.9442266,-87.65599818,41.9442266,-87.65599818,2.7,,,Cash,,540,6
6,8.45,3,15,3,1363102200,41.9442266,-87.65599818,41.9442266,-87.65599818,0.1,,,Cash,Taxi Affiliation Services,660,6
6,4.85,3,22,7,1396133100,41.9442266,-87.65599818,41.9442266,-87.65599818,0.9,,,Cash,Dispatch Taxi Affiliation,180,6
6,7.05,11,10,6,1384510500,41.9442266,-87.65599818,41.9442266,-87.65599818,1.7,,,Credit Card,,480,6
6,5.05,4,2,4,1430272800,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Cash,Taxi Affiliation Services,240,6
6,7.25,5,17,6,1367603100,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Credit Card,Taxi Affiliation Services,540,6
6,7.05,12,8,6,1449216900,41.9442266,-87.65599818,41.9442266,-87.65599818,1.2,,,Cash,,540,6
6,7.45,3,12,4,1394626500,41.9442266,-87.65599818,41.9442266,-87.65599818,1,,,Cash,Dispatch Taxi Affiliation,660,6
6,6.05,4,1,1,1397958300,41.9442266,-87.65599818,41.9442266,-87.65599818,1.3,,,Credit Card,Taxi Affiliation Services,360,6
6,5.05,12,0,1,1449360900,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Cash,Blue Ribbon Taxi Association Inc.,360,6
6,4.65,4,3,2,1397444400,41.9442266,-87.65599818,41.9442266,-87.65599818,0.7,,,Cash,,180,6
6,7.65,3,8,2,1394441100,41.9442266,-87.65599818,41.9442266,-87.65599818,1.7,,,Cash,Dispatch Taxi Affiliation,600,6
6,4.85,4,2,2,1429495200,41.9442266,-87.65599818,41.9442266,-87.65599818,0.7,,,Cash,Taxi Affiliation Services,240,6
6,8.25,3,21,3,1363727700,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Credit Card,Taxi Affiliation Services,600,6
6,3.25,8,22,7,1407623400,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Cash,,0,6
6,9.44,10,16,6,1382716800,41.9442266,-87.65599818,41.9442266,-87.65599818,1.9,,,Cash,,900,6
6,4.05,5,19,1,1431891000,41.9442266,-87.65599818,41.9442266,-87.65599818,0.4,,,Cash,Chicago Medallion Management,120,6
6,6.45,9,2,5,1378348200,41.9442266,-87.65599818,41.9442266,-87.65599818,0,,,Cash,Taxi Affiliation Services,420,6
6,6.25,3,15,7,1457191800,41.9442266,-87.65599818,41.9442266,-87.65599818,1,,,Cash,Taxi Affiliation Services,300,6
6,4.85,12,10,7,1387015200,41.9442266,-87.65599818,41.9442266,-87.65599818,0.6,,,Credit Card,Taxi Affiliation Services,300,6
6,24.65,11,21,6,1447449300,41.9442266,-87.65599818,41.79409025,-87.59231086,11.6,,,Cash,,1320,41
6,15.85,2,2,7,1424484000,41.9442266,-87.65599818,41.98363631,-87.72358319,0.61,,,Credit Card,,1140,13
6,26.05,2,20,5,1423169100,41.9442266,-87.65599818,41.81736621,-87.6988608,12,,,Cash,,1500,58
6,10.5,9,15,3,1474990200,41.9442266,-87.65599818,41.94779159,-87.68383494,0.1,,,Credit Card,Taxi Affiliation Services,780,5
6,7.85,8,0,1,1438476300,41.9442266,-87.65599818,41.94779159,-87.68383494,0.1,,,Credit Card,Taxi Affiliation Services,600,5
6,7.65,1,21,6,1422651600,41.9442266,-87.65599818,41.94779159,-87.68383494,2,,,Cash,Taxi Affiliation Services,480,5
6,7.05,11,8,3,1416905100,41.9442266,-87.65599818,41.94779159,-87.68383494,1.8,,,Cash,,420,5
6,6.05,11,11,1,1384081200,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Choice Taxi Association,360,5
6,6.45,8,22,7,1375567200,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,420,5
6,6.85,10,5,1,1381640400,41.9442266,-87.65599818,41.94779159,-87.68383494,1.7,,,Cash,Dispatch Taxi Affiliation,360,5
6,3.85,6,19,3,1434482100,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,60,5
6,5.85,5,3,7,1399690800,41.9442266,-87.65599818,41.94779159,-87.68383494,1.3,,,Credit Card,Taxi Affiliation Services,300,5
6,6.85,5,3,1,1430624700,41.9442266,-87.65599818,41.94779159,-87.68383494,1.8,,,Credit Card,Dispatch Taxi Affiliation,360,5
6,6.45,10,0,7,1412987400,41.9442266,-87.65599818,41.94779159,-87.68383494,1.4,,,Cash,,300,5
6,9.65,12,18,6,1417804200,41.9442266,-87.65599818,41.94779159,-87.68383494,2.9,,,Cash,Choice Taxi Association,720,5
6,6.05,10,20,2,1445889600,41.9442266,-87.65599818,41.94779159,-87.68383494,1.2,,,Cash,Taxi Affiliation Services,360,5
6,8.45,9,3,3,1378178100,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,540,5
6,7.65,7,23,2,1405985400,41.9442266,-87.65599818,41.94779159,-87.68383494,2.1,,,Cash,Northwest Management LLC,480,5
6,7.25,5,19,3,1432666800,41.9442266,-87.65599818,41.94779159,-87.68383494,1.6,,,Cash,Taxi Affiliation Services,600,5
6,7.65,3,17,5,1394732700,41.9442266,-87.65599818,41.94779159,-87.68383494,1.7,,,Cash,,660,5
6,8.05,1,8,4,1390379400,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,540,5
6,8.45,11,19,7,1448132400,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,720,5
6,5.85,3,11,7,1394276400,41.9442266,-87.65599818,41.94779159,-87.68383494,1.2,,,Cash,Dispatch Taxi Affiliation,360,5
6,6.25,2,18,4,1391625900,41.9442266,-87.65599818,41.94779159,-87.68383494,1.4,,,Cash,,360,5
6,7.75,8,23,4,1472687100,41.9442266,-87.65599818,41.94779159,-87.68383494,1.8,,,Credit Card,Taxi Affiliation Services,540,5
6,6.05,2,18,1,1361729700,41.9442266,-87.65599818,41.94779159,-87.68383494,1.5,,,Cash,,300,5
6,5.45,6,4,4,1435120200,41.9442266,-87.65599818,41.94779159,-87.68383494,0,,,Cash,Taxi Affiliation Services,180,5
6,16.85,12,22,5,1451601900,41.9442266,-87.65599818,41.95402765,-87.76339903,0,,,Cash,Blue Ribbon Taxi Association Inc.,1320,15
6,13.65,8,7,3,1407222000,41.9442266,-87.65599818,41.87400538,-87.66351755,5.2,,,Cash,,780,28
6,24.05,2,17,6,1393004700,41.9442266,-87.65599818,41.87400538,-87.66351755,8.5,,,Cash,,2160,28
6,12.25,6,7,1,1433663100,41.9442266,-87.65599818,41.87400538,-87.66351755,4.6,,,Cash,,600,28
6,17.45,6,12,3,1435666500,41.9442266,-87.65599818,41.87400538,-87.66351755,7.2,,,Credit Card,Taxi Affiliation Services,960,28
6,15.25,12,19,5,1386877500,41.9442266,-87.65599818,41.87400538,-87.66351755,0.55,,,Cash,,1140,28
6,17.25,11,8,1,1416126600,41.9442266,-87.65599818,41.87400538,-87.66351755,7.4,,,Credit Card,Taxi Affiliation Services,960,28
6,16,2,7,5,1455778800,41.9442266,-87.65599818,41.87400538,-87.66351755,4.7,,,Cash,,1140,28
6,17.45,2,19,4,1392231600,41.9442266,-87.65599818,41.87400538,-87.66351755,0,,,Credit Card,Blue Ribbon Taxi Association Inc.,1860,28
6,16.05,9,7,6,1379057400,41.9442266,-87.65599818,41.87400538,-87.66351755,0,,,Cash,Choice Taxi Association,1320,28
6,12.05,3,12,7,1425729600,41.9442266,-87.65599818,41.92268628,-87.64948873,4.1,,,Cash,,780,7
6,3.65,12,14,2,1449498600,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Taxi Affiliation Services,60,7
6,6.65,6,14,7,1434809700,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Credit Card,Blue Ribbon Taxi Association Inc.,480,7
6,5.45,5,21,4,1401311700,41.9442266,-87.65599818,41.92268628,-87.64948873,2.5,,,Cash,Dispatch Taxi Affiliation,240,7
6,7,7,16,7,1468082700,41.9442266,-87.65599818,41.92268628,-87.64948873,1.3,,,Credit Card,,480,7
6,9,9,16,7,1474734600,41.9442266,-87.65599818,41.92268628,-87.64948873,2,,,Cash,,780,7
6,8.25,8,12,7,1377950400,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Blue Ribbon Taxi Association Inc.,840,7
6,9.25,2,16,7,1360428300,41.9442266,-87.65599818,41.92268628,-87.64948873,2.8,,,Cash,,600,7
6,11.5,2,10,6,1456480800,41.9442266,-87.65599818,41.92268628,-87.64948873,3.3,,,Cash,Taxi Affiliation Services,660,7
6,9.05,6,12,7,1403352900,41.9442266,-87.65599818,41.92268628,-87.64948873,2.6,,,Cash,Taxi Affiliation Services,660,7
6,9.25,2,22,6,1360361700,41.9442266,-87.65599818,41.92268628,-87.64948873,2.7,,,Cash,,720,7
6,5.65,11,22,2,1446502500,41.9442266,-87.65599818,41.92268628,-87.64948873,1.1,,,Credit Card,KOAM Taxi Association,300,7
6,6.05,2,14,4,1392214500,41.9442266,-87.65599818,41.92268628,-87.64948873,1.4,,,Cash,Taxi Affiliation Services,300,7
6,8.85,5,19,5,1368730800,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Dispatch Taxi Affiliation,840,7
6,6.25,10,2,2,1413167400,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Taxi Affiliation Services,360,7
6,7.45,4,22,1,1366582500,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Taxi Affiliation Services,480,7
6,9.45,2,6,6,1423808100,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Blue Ribbon Taxi Association Inc.,720,7
6,7.25,5,1,1,1368926100,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Credit Card,Dispatch Taxi Affiliation,480,7
6,6.65,3,16,6,1395420300,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Credit Card,Taxi Affiliation Services,480,7
6,6.25,12,14,1,1387116000,41.9442266,-87.65599818,41.92268628,-87.64948873,1.2,,,Cash,Taxi Affiliation Services,420,7
6,7.25,9,23,1,1379286000,41.9442266,-87.65599818,41.92268628,-87.64948873,1.6,,,Cash,Taxi Affiliation Services,540,7
6,8.45,11,14,2,1448289900,41.9442266,-87.65599818,41.92268628,-87.64948873,0.1,,,Cash,Taxi Affiliation Services,660,7
6,9.75,6,16,6,1466179200,41.9442266,-87.65599818,41.92268628,-87.64948873,1.9,,,Cash,,840,7
6,6.65,8,21,6,1376084700,41.9442266,-87.65599818,41.92268628,-87.64948873,0,,,Cash,Taxi Affiliation Services,420,7
6,6.65,1,23,7,1359243000,41.9442266,-87.65599818,41.92268628,-87.64948873,1.8,,,Cash,,360,7
6,6.05,12,13,1,1419771600,41.9442266,-87.65599818,41.92268628,-87.64948873,1.2,,,Cash,Top Cab Affiliation,360,7
6,7.85,12,15,6,1386947700,41.9442266,-87.65599818,41.92268628,-87.64948873,0.2,,,Cash,,540,7
6,10.05,6,6,7,1435386600,41.9442266,-87.65599818,41.92268628,-87.64948873,3.5,,,Credit Card,Taxi Affiliation Services,420,7
6,13,10,23,6,1475883900,41.9442266,-87.65599818,41.92268628,-87.64948873,3.8,,,Credit Card,Dispatch Taxi Affiliation,720,7
